THE KNITTER'S BOOK OF WOOL - THE ULTIMATE GUIDE TO UNDERSTANDING- USING & LOVING THIS MOST FABULOUS FIBER,CLARA PARKES,978-0-307-35217-0
THE KNITTING GODDESS - FINDING THE HEART AND SOUL OF KNITTING THROUGH INSTRUCTION- PROJECTS AND STORIES,DEBORAH BERGMAN,0-7868-6611-X
THE KNITTING SUTRA,SUSAN GORDON LYDON,0-06-251202-1
THE LAUGUAGE OF THREADS - A NOVEL,GAIL TSUKIYAMA,0-312-26756-8
THE LOVING STITCH - A HISTORY OF KNITTING AND SPINNING IN NEW ZEALAND,HEATHER NICHOLSON,1-86940-188-3
THE NAVAJO AND HIS BLANKET,U.S. HOLLISTER,0-87380-097-4
THE PRAIRIE WOOL COMPANION,ISSUE 10,MAGAZINE
THE PRAIRIE WOOL COMPANION,ISSUE 13,MAGAZINE
THE PRAIRIE WOOL COMPANION,ISSUE 14,MAGAZINE
THE PROFESSOR KNITS A SHROUD,WIRT VAN ARSDALE,No ISBN
THE RED TENT - A NOVEL,ANITA DIAMANT,0-312-19551-6
THE SASHA KAGAN SWEATER BOOK,DORLING KINDERSLEY LIMITED,1-871854-04-0
THE SHEEP BOOK,RON PARKER,0-345-31574-X
THE SOCK BOOK- 5 SOCK PATTERNS TO KNIT,JEAN LAMPE- BOOKLET #9731,BOOKLET
THE SPIN-OFF INDEX AND RESOURCE DIRECTORY,1977-2000,MAGAZINE
THE STUDIO LIBRARY OF DECORATIVE ART CLASSIC TEXTILE DESIGNS,M. DUPONT-AUBERVILLE,1-85170-278-4
THE TAPESTRIES - A NOVEL,KIEN NGUYEN,316735604
THE TEXTILE DESIGN BOOK ,KARIN JERSTORP & EVA KOHLMARK,0-937274-83-6
THE TEXTILE MUSEUM JOURNAL 1997-1998,THE TEXTILE MUSEUM- WASHINGTON D.C.,No ISBN
THE TEXTILE MUSEUM JOURNAL 1999-2000 (VOLUME 38 & 39),THE TEXTILE MUSEUM- WASHINGTON D.C.,No ISBN
